cod,uf,precom,subitem,cod_subitem,grupo,partic,rm,peso
1101050,50,3.587118912337663,Feijao,01101050,alimentação,.1800000071525574,5,.0019211783
1102012,32,2.356119967793883,Farinha de trigo,01102012,alimentação,.0700000002980232,3,.00075675675
2101012,23,695.8030395507813,Mudança,02101012,habitacao,0,2,0
3201001,41,2383.021924866904,Refrigerador,03201001,utencilios do lar,.3199999928474426,4,.0034234668
1103028,31,4.5876,Tomate,01103028,alimentação,.1800000071525574,3,.001927195
1106015,23,3.878077030181885,Limão,01106015,alimentação,0,2,0
3102010,41,25.55917209159729,Utensílios de plástico,03102010,utencilios do lar,0,4,0
6202004,33,3566.760498046875,Hospitalização e cirurgia,06202004,saude e higiene,.5,3,.0056554689
1113014,31,41.86882400512695,Azeite de oliva,01113014,alimentação,0,3,0
4301004,32,302.4808959960938,Relógio de pulso,04301004,vestuario,.0599999986588955,3,.00064864859
3102005,52,435.3201933092093,Tapete,03102005,utencilios do lar,.1299999952316284,5,.0014210755
1116022,29,8.594396591186523,Colorau,01116022,alimentação,0,2,0
3202028,26,1870.385375976563,Computador pessoal,03202028,utencilios do lar,.300000011920929,2,.0032195752
5102020,52,26685.91025641025,Automóvel usado,05102020,transporte,1.769999980926514,5,.019348493
1201000,41,5.454252819548872,Água,01201000,alimentação,.2929443418979645,4,.0031340164
6101010,43,23.77367200289422,Vitamina e fortificante,06101010,saude e higiene,.2599999904632568,4,.0028235549
6201010,43,156.5,Psicólogo,06201010,saude e higiene,.1000000014901161,4,.0010859827
3102005,52,435.3201933092093,Tapete,03102005,utencilios do lar,.1299999952316284,5,.0014210755
4102013,31,62.55231040004887,Bermuda/short feminino,04102013,vestuario,.0900000035762787,3,.0009635975
1107090,31,20.29129600524902,Lagarto redondo,01107090,alimentação,0,3,0
7201006,50,103,Clube,07201006,servicos pessoais,0,5,0
1201001,53,38.63206929744039,Refeição,01201001,alimentação,4.289999961853027,5,.047574162
3101015,52,706.3789973578102,Móvel para copa e cozinha,03101015,utencilios do lar,.2099999934434891,5,.0022955837
3102035,29,26.1328514739229,Flores naturais,03102035,utencilios do lar,0,2,0
1109008,32,13.65465,Linguiça,01109008,alimentação,.2649999856948853,3,.0028648647
1111011,50,31.29322623672624,Queijo,01111011,alimentação,.3499999940395355,5,.0037356245
4102004,35,77.90194702148438,Saia,04102004,vestuario,0,3,0
8101006,31,5981.764444444443,Pós-graduação,08101006,educaçao,.2300000041723251,3,.0024625268
7101076,50,94.94711538461539,Serviço bancário,07101076,servicos pessoais,2.519999980926514,5,.026896497
7101036,15,128.4468841552734,Despachante,07101036,servicos pessoais,0,1,0
1103005,52,2.938823461532593,Mandioca (aipim),01103005,alimentação,0,5,0
3101016,26,420.8186340332031,Móvel infantil,03101016,utencilios do lar,.119999997317791,2,.0012878299
6101003,26,49.6825786418556,Anti-inflamatório e antirreumático,06101003,saude e higiene,.2000000029802322,2,.0021463835
5101004,23,3.940000057220459,Trem,05101004,transporte,0,2,0
7201010,52,815.1986111111112,Instrumento musical,07201010,servicos pessoais,.1700000017881393,5,.0018583297
8101006,52,15455.31714285714,Pós-graduação,08101006,educaçao,.1500000059604645,5,.0016397027
2104009,29,7.516036931818182,Sabão em pó,02104009,habitacao,.239999994635582,2,.002546554
1107094,41,15.41421052631579,Pá,01107094,alimentação,0,4,0
1106011,52,6.098746776580811,Laranja - baía,01106011,alimentação,0,5,0
9101001,50,101.8962478637695,Correio,09101001,Comunicação,0,5,0
4101006,23,66.80710769869563,Bermuda/short masculino,04101006,vestuario,.2800000011920929,2,.0030722222
1107031,53,20.72336769104004,Carne de carneiro,01107031,alimentação,0,5,0
1107087,26,22.60035714285714,Chã de dentro,01107087,alimentação,.4799999892711639,2,.0051513198
7201006,31,180.0187616099071,Clube,07201006,servicos pessoais,.1800000071525574,3,.001927195
4401001,31,16.0082735042735,Tecido,04401001,vestuario,.0299999993294477,3,.00032119913
5102006,33,528.91748046875,Multa,05102006,transporte,0,3,0
1101079,50,6.498631000518799,Milho em grão,01101079,alimentação,0,5,0
8104001,33,5551.88623046875,Curso preparatório,08104001,educaçao,.1500000059604645,3,.0016966407
1103044,52,3.19813333333333,Cenoura,01103044,alimentação,.0500000007450581,5,.00054656761
1107089,29,20.858125,Patinho,01107089,alimentação,0,2,0
3103001,35,67.36998531325436,Roupa de cama,03103001,utencilios do lar,.1500000059604645,3,.0016178613
6101009,43,38.22775595238095,Gastroprotetor,06101009,saude e higiene,.1500000059604645,4,.0016289741
7101001,26,27.36059002725669,Costureira,07101001,servicos pessoais,.1000000014901161,2,.0010731918
1201000,29,4.800724506378174,Água,01201000,alimentação,.2140122503042221,2,.0022708073
1116023,41,5.963710784912109,Caldo de tucupi,01116023,alimentação,0,4,0
3201002,41,1509.362310292208,Ar-condicionado,03201002,utencilios do lar,.0900000035762787,4,.00096285011
2101001,35,1036.464470053893,Aluguel residencial,02101001,habitacao,4.550000190734863,3,.049075123
1107085,52,33.70106382978723,Filé-mignon,01107085,alimentação,0,5,0
7101005,43,20.84375,Manicure,07101005,servicos pessoais,.3199999928474426,4,.0034751445
1116005,41,14.40168857574463,Atomatado,01116005,alimentação,.1599999964237213,4,.0017117334
1103026,52,3.332903146743774,Pimentão,01103026,alimentação,0,5,0
1110044,35,6.746590754073514,Ovo de galinha,01110044,alimentação,.2000000029802322,3,.0021571484
5102037,23,1033.64013671875,Pintura de veículo,05102037,transporte,0,2,0
4201015,43,208.4472647638889,Bolsa,04201015,vestuario,.0700000002980232,4,.00076018786
6301007,29,3.958581840998509,Produto para higiene bucal,06301007,saude e higiene,.300000011920929,2,.0031831928
1201009,35,1.734807729721069,Cafezinho,01201009,alimentação,.0900000035762787,3,.00097071676
2101004,52,102.6800003051758,Taxa de água e esgoto,02101004,habitacao,2.359999895095825,5,.025797989
8101005,52,1106.377604166667,Ensino superior,08101005,educaçao,2.339999914169312,5,.025579361
8102004,35,14.76666641235352,Revista,08102004,educaçao,.0900000035762787,3,.00097071676
1201009,41,1.597403883934021,Cafezinho,01201009,alimentação,0,4,0
3102005,32,300.1844136666667,Tapete,03102005,utencilios do lar,.1000000014901161,3,.0010810811
2202003,35,100.3525,Energia elétrica residencial,02202003,habitacao,3.779999971389771,3,.040770102
1104052,23,53.18847126993455,Chocolate e achocolatado em pó,01104052,alimentação,.0799999982118607,2,.0008777777
4103031,23,57.35884015594542,Conjunto infantil,04103031,vestuario,.119999997317791,2,.0013166667
1102023,35,5.576832294464111,Farinha de mandioca,01102023,alimentação,.0299999993294477,3,.00032357223
1106005,52,3.053225755691528,Banana - d'água,01106005,alimentação,0,5,0
8101005,26,794.7630769230768,Ensino superior,08101005,educaçao,1.389999985694885,2,.014917364
1104018,32,4.268339157104492,Balas,01104018,alimentação,0,3,0
1115058,15,8.676190476190499,Milho-verde em conserva,01115058,alimentação,.0399999991059303,1,.00045083123
8101002,23,579.18,Pré-escola,08101002,educaçao,.4199999868869781,2,.0046083331
6203001,15,341.13,Plano de saúde,06203001,saude e higiene,1.740000009536743,1,.019611157
5102037,32,1244.469230769231,Pintura de veículo,05102037,transporte,0,3,0
4201063,50,172.7281564040404,Tênis,04201063,vestuario,.4000000059604645,5,.0042692851
3201006,32,1196.113988092188,Máquina de lavar roupa,03201006,utencilios do lar,.300000011920929,3,.0032432433
1103003,33,2.90408746846089,Batata-inglesa,01103003,alimentação,.1700000017881393,3,.0019228595
9101001,43,101.8962478637695,Correio,09101001,Comunicação,.1000000014901161,4,.0010859827
6101007,52,79.21672058105469,Antialérgico e broncodilatador,06101007,saude e higiene,.1899999976158142,5,.0020769569
3201050,52,90.34808349609375,Chuveiro elétrico,03201050,utencilios do lar,0,5,0
4103011,23,38.34405214424951,Camisa/camiseta infantil,04103011,vestuario,.1400000005960464,2,.0015361111
1101079,35,6.498631000518799,Milho em grão,01101079,alimentação,0,3,0
6101004,29,18.30413995726496,Antigripal e antitussígeno,06101004,saude e higiene,.2199999988079071,2,.0023343412
5102020,50,29294.109375,Automóvel usado,05102020,transporte,2.490000009536743,5,.026576299
1103026,31,3.332903146743774,Pimentão,01103026,alimentação,0,3,0
1201061,35,5.053040981292725,Doces,01201061,alimentação,0,3,0
1101050,23,4.23809276702134,Feijao,01101050,alimentação,.2800000011920929,2,.0030722222
6301014,41,13.5164405220582,Desodorante,06301014,saude e higiene,.4099999964237213,4,.004386317
2103005,35,13.60177898406982,Ferragens,02103005,habitacao,0,3,0
5101010,23,1832.542114257813,Passagem aérea,05101010,transporte,.4399999976158142,2,.0048277779
4201002,32,169.6697360102833,Sapato masculino,04201002,vestuario,.1800000071525574,3,.001945946
5102005,26,2883.962500000001,Seguro voluntário de veículo,05102005,transporte,.449999988079071,2,.0048293625
1114004,53,16.58441543579102,Açaí (emulsão),01114004,alimentação,0,5,0
8101005,50,1262.200037878788,Ensino superior,08101005,educaçao,1.360000014305115,5,.014515569
3102009,33,19.69694632034632,Utensílios de vidro e louça,03102009,utencilios do lar,0,3,0
1106003,52,4.659230709075928,Abacaxi,01106003,alimentação,.0599999986588955,5,.00065588107
1115058,43,10.575945092711,Milho-verde em conserva,01115058,alimentação,.0299999993294477,4,.0003257948
1115056,23,88.42172241210938,Sopa desidratada,01115056,alimentação,0,2,0
1104023,41,43.69936356899201,Chocolate em barra e bombom,01104023,alimentação,.0949999988079071,4,.0010163417
1111008,29,12.24285703981906,Leite condensado,01111008,alimentação,0,2,0
5104001,31,4.26813333333333,Gasolina,05104001,transporte,5.639999866485596,3,.06038544
